Metascore,BoxOffice,Website,imdbRating,imdbVotes,Runtime,Language,Rated,Production,Released,imdbID,Plot,Director,Title,Actors,Response,Type,Awards,DVD,Year,Poster,Country,Genre,Writer
N/A,N/A,N/A,6.0,385,101 min,"English, Hebrew",Approved,Twentieth Century Fox Home Entertainment,02 Nov 1955,tt0048121,This was the first movie produced in Israel. It deals with the outbreak of hostilities during the war for independence in 1947. The message of this film was the sadness and stupidity of ...,Thorold Dickinson,Hill 24 Doesn't Answer,"Edward Mulhare, Haya Harareet, Michael Shillo, Michael Wager",True,movie,1 nomination.,N/A,1955,https://m.media-amazon.com/images/M/MV5BZDA4NWNlYjQtYjFjMy00YWE4LTk4MDItNDMyYTY2Yjk3M2VlXkEyXkFqcGdeQXVyMjMyMzI4MzY@._V1_SX300.jpg,Israel,"Adventure, Drama, Romance, War","Zvi Kolitz (story and screenplay), Peter Frye (screenplay)"
N/A,N/A,N/A,4.7,26,82 min,Swedish,N/A,N/A,10 Sep 1955,tt0048122,"Sture and Birgit are secretly engaged. One day when they are kissing, they are discovered by Sture's father Dana.",Torgny Anderberg,Den glade skomakaren,"Arthur Fischer, Hjördis Petterson, Gunnar Sjöberg, Åke Söderblom",True,movie,N/A,N/A,1955,https://m.media-amazon.com/images/M/MV5BMWFmZTQ4ZTgtZDgwYi00YzVkLWIxYzktYWFhMzhmNWYwYTYzXkEyXkFqcGdeQXVyMjUyNDk2ODc@._V1_SX300.jpg,Sweden,Comedy,"Torgny Anderberg, Arthur Fischer, Siegfried Fischer (play)"
N/A,N/A,N/A,5.6,126,59 min,English,Not Rated,N/A,15 Apr 1955,tt0048123,'Crowds flock to a carnival sideshow to see "The Starving Man", a heavyset man who claims he can go 70 days without eating. However, a couple of murders occur at the carnival, resulting in the police becoming involved.',Montgomery Tully,The Glass Tomb,"John Ireland, Honor Blackman, Geoffrey Keen, Eric Pohlmann",True,movie,N/A,N/A,1955,https://m.media-amazon.com/images/M/MV5BMTg3NTQyNjI1MV5BMl5BanBnXkFtZTYwNzg3MDc4._V1_SX300.jpg,UK,Mystery,"Richard H. Landau (screenplay), A.E. Martin (novel)"
N/A,N/A,N/A,6.5,"1,028",93 min,English,UNRATED,MGM,29 Nov 1955,tt0048124,Tomboyish outcast "Cinder" Ella and the duke's charming son Charles fall in love in this comedic rendition of the classic fairy tale.,Charles Walters,The Glass Slipper,"Leslie Caron, Michael Wilding, Keenan Wynn, Estelle Winwood",True,movie,N/A,18 Apr 1991,1955,https://images-na.ssl-images-amazon.com/images/M/MV5BNjc2MTA0MDI1OV5BMl5BanBnXkFtZTgwMzE2MjkyMTE@._V1_SX300.jpg,USA,"Musical, Romance","Helen Deutsch (libretto), Helen Deutsch (screenplay)"
N/A,N/A,N/A,6.7,22,11 min,Dutch,N/A,N/A,N/A,tt0048125,N/A,Bert Haanstra,God Shiva,Radan Mas Jodjana,True,movie,N/A,N/A,1955,N/A,Netherlands,"Documentary, Short",Bert Haanstra (scenario)
N/A,N/A,N/A,6.0,22,87 min,Polish,N/A,N/A,09 May 1955,tt0048126,"In the last days of World War 2, people of various ethnic background meet in a Polish military hospital in a small German town, whereas a Nazi SS division hides in the local forests and tries to move westwards.",Jan Rybkowski,Godziny nadziei,"Zbigniew Józefowicz, Krystyna Kamienska, Stanislaw Mikulski, Jadwiga Chojnacka",True,movie,N/A,N/A,1955,https://images-na.ssl-images-amazon.com/images/M/MV5BOWYwNTAxNDEtY2MwNS00M2IxLTk1ZTctNTU3YTEyOWNmMDJhXkEyXkFqcGdeQXVyMTc4MzI2NQ@@._V1_SX300.jpg,Poland,"Action, Drama, War","Jerzy Pomianowski (novel), Jerzy Pomianowski (screenplay)"
N/A,N/A,N/A,5.9,"4,486",78 min,Japanese,Approved,N/A,21 May 1959,tt0048127,Godzilla battles an irradiated Ankylosaur and destroys Osaka in the process.,Motoyoshi Oda,Godzilla Raids Again,"Hiroshi Koizumi, Setsuko Wakayama, Minoru Chiaki, Takashi Shimura",True,movie,1 nomination.,N/A,1955,https://m.media-amazon.com/images/M/MV5BM2QwOGJiYmMtY2IzNC00NjEzLWI5YWItNDM1MjNiNmMyMDRkXkEyXkFqcGdeQXVyMTQxNzMzNDI@._V1_SX300.jpg,Japan,"Action, Adventure, Family, Horror, Sci-Fi","Takeo Murata, Shigeaki Hidaka, Shigeru Kayama (story), Ib Melchior (original story), Ed Watson (original story)"
N/A,N/A,N/A,5.4,17,15 min,English,N/A,N/A,N/A,tt0048128,"A look at the history of gold, and how the less expensive gold filled process is used to bring glitter to the masses in the form of cigarette lighters, cuff links, and eyeglasses.",Larry Williams,Golden Glamour,Dwight Weist,True,movie,N/A,N/A,1955,N/A,USA,"Documentary, Short",Jerome Brondfield
N/A,N/A,N/A,N/A,N/A,98 min,Spanish,N/A,N/A,26 Sep 1955,tt0048129,N/A,Ignacio F. Iquino,"Good Bye, Sevilla","Julia Caba Alba, Tullio Carminati, Marujita Díaz, Miguel Gila",True,movie,N/A,N/A,1955,N/A,Spain,N/A,"Ignacio F. Iquino (screenplay), Ignacio F. Iquino (story)"
N/A,N/A,N/A,7.0,706,107 min,"English, Polish",APPROVED,20th Century Fox,26 Jan 1956,tt0048130,"Miss Dove is a strict disciplinary, plus a well respected teacher, who has inspired her students to individual greatness. One day during class, Miss Dove experiences great pain in her back,...",Henry Koster,"Good Morning, Miss Dove","Jennifer Jones, Robert Stack, Kipp Hamilton, Robert Douglas",True,movie,N/A,N/A,1955,https://ia.media-imdb.com/images/M/MV5BMDEwZTg1ZWQtZjRlZC00ZTE0LThiZGItNDliOTAxYjg4ODY5XkEyXkFqcGdeQXVyNjc0MzMzNjA@._V1_SX300.jpg,USA,Drama,"Eleanore Griffin (screenplay), Frances Gray Patton (novel)"
N/A,N/A,N/A,7.2,255,8 min,English,PASSED,N/A,23 Dec 1955,tt0048131,'A group of young mice is in the ruins of a church, practicing singing for an upcoming service. After singing an adulterated version of "Hark! The Herald Angels Sing," the mice wonder about ...,Joseph Barbera, William Hanna",Good Will to Men,Daws Butler,True,movie,N/A,N/A,1955,https://images-na.ssl-images-amazon.com/images/M/MV5BNDU1Mjc2MDctZTRjMS00MjI1LWI5NDMtYmI1MjY2YWZmMDk2XkEyXkFqcGdeQXVyNjMxODMyODU@._V1_SX300.jpg,USA,"Animation, Short",N/A
N/A,N/A,N/A,7.1,87,75 min,English,N/A,N/A,25 Oct 1955,tt0048132,"After race horse trainer Gerald Coates' horse wins the Grand National, his wife come home drunk, and the two of them have a violent argument, and she is accidentally killed. Coates insists ...",Bob McNaught,Wicked Wife,"Nigel Patrick, Moira Lister, Beatrice Campbell, Betty Ann Davies",True,movie,N/A,N/A,1953,https://images-na.ssl-images-amazon.com/images/M/MV5BMjJjZTY3M2ItZThhZS00ZGFiLTk4MmUtZTk1ZmVhNGJjOTNhXkEyXkFqcGdeQXVyNTEwNzU0NzY@._V1_SX300.jpg,UK,"Crime, Thriller","Dorothy Christie (play), Campbell Christie (play), Bob McNaught, Val Valentine"
N/A,N/A,N/A,6.8,790,106 min,French,N/A,N/A,01 Oct 1956,tt0048133,"A French lieutenant makes a bet that he can seduce any woman in town in the two weeks before his regiment leaves for maneuvers, but his chosen target (a Parisian divorcée) isn't like other girls he's known.",René Clair,The Grand Maneuver,"Michèle Morgan, Gérard Philipe, Jean Desailly, Pierre Dux",True,movie,3 wins & 1 nomination.,N/A,1955,"https://m.media-amazon.com/images/M/MV5BMTkzNTEyODEyNV5BMl5BanBnXkFtZTcwMjQ0NTUyMQ@@._V1._CR15,2,299,419_SY132_CR2,0,89,132_AL_.jpg_V1_SX300.jpg","France, Italy","Comedy, Drama, Romance","René Clair (screenplay and dialogue), Jérôme Géronimi (adaptation), Jean Marsan (adaptation)"
N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,tt0048133,N/A,N/A,#DUPE#,N/A,True,movie,N/A,N/A,1955,N/A,N/A,N/A,N/A
N/A,N/A,N/A,5.6,16,62 min,English,APPROVED,N/A,09 Jul 1955,tt0048135,'International crook Wolf Frees and his partner, Percy Herbert, steal the Green Buddah, a priceless eastern-art object, while it is on a display-exhibition in London. Frees double-crosses ...,John Lemont,The Green Carnation,"Wayne Morris, Mary Germaine, Marcia Ashton, Mary Merrall",True,movie,N/A,N/A,1954,https://images-na.ssl-images-amazon.com/images/M/MV5BMTUzNTY1OTA4MV5BMl5BanBnXkFtZTYwNTgxNjg5._V1_SX300.jpg,"UK, USA","Crime, Drama, Mystery",Paul Erickson (original screenplay)
N/A,N/A,N/A,8.0,6,102 min,German,N/A,N/A,30 Jun 1955,tt0048136,N/A,Carl-Heinz Schroth,Reaching for the Stars,"Erik Schumann, Liselotte Pulver, Gustav Knuth, Oliver Grimm",True,movie,N/A,N/A,1955,N/A,West Germany,Drama,"Helmut Käutner, Maria von der Osten-Sacken (screenplay), Maria von der Osten-Sacken (story)"
N/A,N/A,N/A,5.6,15,94 min,Spanish,N/A,N/A,23 May 1955,tt0048137,N/A,Arturo Ruiz Castillo,El guardián del paraíso,"Ángel Aranda, Manuel Arbó, Luis Barbán, Rafael Bardem",True,movie,1 win.,N/A,1955,N/A,Spain,Comedy,"Manuel Pombo Angulo (screenplay), Manuel Pombo Angulo (story), Arturo Ruiz Castillo (adaptation)"
N/A,N/A,N/A,7.4,525,7 min,English,APPROVED,N/A,10 Dec 1955,tt0048138,'While cooking a tin can, the Coyote spots a better meal rushing by- the Road Runner. But making himself into a giant arrow doesn't catch the bird, and the book, "How to Tar and Feather a Road Runner", isn't much help either.',Chuck Jones,Guided Muscle,Paul Julian,True,movie,N/A,N/A,1955,https://images-na.ssl-images-amazon.com/images/M/MV5BY2I2N2NhNjItOTE0OC00ZmQwLTkzYTItNjAyNTExYWZkY2YzXkEyXkFqcGdeQXVyNDgyODgxNjE@._V1_SX300.jpg,USA,"Family, Animation, Short",Michael Maltese (story)
N/A,N/A,N/A,4.7,149,71 min,English,APPROVED,N/A,01 Sep 1955,tt0048139,"In the late 1880s, Colonel Carrington and his command are assigned the job of constructing a chain of forts in the Sioux Indian territory - of Wyoming. Carrington recruits former cavalry ...",William Castle,The Gun That Won the West,"Dennis Morgan, Paula Raymond, Richard Denning, Chris O'Brien",True,movie,N/A,N/A,1955,https://images-na.ssl-images-amazon.com/images/M/MV5BODQ1Nzk3NTAwNV5BMl5BanBnXkFtZTcwNDMyMTYyMQ@@._V1_SX300.jpg,USA,"Adventure, Western",Robert E. Kent (story and screenplay)
N/A,N/A,N/A,7.2,"14,159",150 min,English,Not Rated,MGM,23 Dec 1955,tt0048140,"In New York, a gambler is challenged to take a cold female missionary to Havana, but they fall for each other, and the bet has a hidden motive to finance a crap game.",Joseph L. Mankiewicz,Guys and Dolls,"Marlon Brando, Jean Simmons, Frank Sinatra, Vivian Blaine",True,movie,Nominated for 4 Oscars. Another 2 wins & 3 nominations.,15 May 2001,1955,https://m.media-amazon.com/images/M/MV5BZGJlZTBiZTAtN2I3ZS00NzJmLWEwOTAtYjlkZjg0NzVmOTJkXkEyXkFqcGdeQXVyNjUwNzk3NDc@._V1_SX300.jpg,USA,"Comedy, Crime, Musical, Romance",'Jo Swerling (based upon the play: "Guys and Dolls" book by), Abe Burrows (based upon the play: "Guys and Dolls" book by), Damon Runyon (from a story), Joseph L. Mankiewicz (written for the screen by)'
N/A,N/A,N/A,7.5,193,16 min,English,N/A,N/A,10 Mar 1955,tt0048141,"Larry and Shemp reminisce about their experiences with Jean, a diamond crazy gold digger each of them was gypped by. After telling their stories, they have a run in with Moe, who is now ...",Jules White,Gypped in the Penthouse,"Shemp Howard, Larry Fine, Moe Howard, Jean Willes",True,movie,N/A,N/A,1955,https://m.media-amazon.com/images/M/MV5BMTQ2MDc3NzU3M15BMl5BanBnXkFtZTcwMzk1NTMzMw@@._V1_SX300.jpg,USA,"Comedy, Short",Felix Adler (story & screenplay)
N/A,N/A,N/A,7.6,30,N/A,Hungarian,N/A,N/A,15 Sep 1955,tt0048142,N/A,Viktor Gertler,Gázolás,"Iván Darvas, Violetta Ferrari, Imre Apáthi, Irén Sütö",True,movie,N/A,N/A,1955,https://m.media-amazon.com/images/M/MV5BYTM0M2JmNWUtODIwYS00YWU5LWJhMGUtMTg5MzAzNTI4MWZlXkEyXkFqcGdeQXVyMjgxMTkzOQ@@._V1_SX300.jpg,Hungary,N/A,"Péter Szász, István Vajda"
N/A,N/A,N/A,N/A,N/A,88 min,Spanish,N/A,N/A,30 Jan 1956,tt0048143,The rise and fall of an adventurer who dominates a village and most of its people.,Javier Setó,Ha pasado un hombre,"Lina Rosales, Alberto Ruschel, Carlos Casaravilla, Héctor Sánchez",True,movie,N/A,N/A,1956,https://images-na.ssl-images-amazon.com/images/M/MV5BMzE2MGExYjAtMmI5MC00ODM5LWJlNDYtYTIyYmZlMDllNmUxXkEyXkFqcGdeQXVyNzA4ODc3ODU@._V1_SX300.jpg,Spain,N/A,"Faustino González Aller (screenplay), Faustino González Aller (story)"
N/A,N/A,N/A,7.6,8,N/A,Swedish,N/A,N/A,04 Dec 1955,tt0048144,N/A,Alf Sjöberg,Hamlet,"Bengt Ekerot, Anita Björk, Edvin Adolphson, Birgitta Valberg",True,movie,N/A,N/A,1955,N/A,Sweden,Drama,"William Shakespeare (play), Alf Sjöberg (scenario)"
N/A,N/A,N/A,N/A,N/A,76 min,English,N/A,N/A,N/A,tt0048145,A man finds a rare stamp and takes it to an expert to find out what it's worth. He discovers it is a forgery and starts to find out who is behind it.,Bernard Knowles,"Handcuffs, London","Bruce Seton, Derek Aylward, Kathleen Byron, Michael Craig",True,movie,N/A,N/A,1955,N/A,UK,"Crime, Drama",Brock Williams
N/A,N/A,N/A,7.9,25,132 min,Serbo-Croatian,N/A,N/A,21 Mar 1956,tt0048146,Village drama of love and hate among the Gypsies.,Slavko Vorkapich,Hanka,"Vera Gregovic, Jovan Milicevic, Mira Stupica, Vaso Kosic",True,movie,1 nomination.,N/A,1955,https://images-na.ssl-images-amazon.com/images/M/MV5BMzc4OTlmNzctMGVkZi00OGJmLTllNGYtYjFhNjUyMzhhMGFiXkEyXkFqcGdeQXVyMTYzNTE3NDA@._V1_SX300.jpg,Yugoslavia,Drama,"Marko Markovic (dialogue writer), Isak Samokovlija (novel), Slavko Vorkapich"
N/A,N/A,N/A,6.4,35,95 min,German,N/A,N/A,14 Sep 1955,tt0048147,"In Germany during World War II, a well-known psychic decides to collaborate with the Nazis.","O.W. Fischer, Georg Marischka",Hanussen,"O.W. Fischer, Liselotte Pulver, Erni Mangold, Maria Dominique",True,movie,N/A,N/A,1955,https://m.media-amazon.com/images/M/MV5BNTk2NjQ0MWYtM2EyZi00NGRjLWFmNTktNWM2MmQzMjliMTY3L2ltYWdlL2ltYWdlXkEyXkFqcGdeQXVyNTA2NDc4OA@@._V1_SX300.jpg,West Germany,Drama,"Gerhard Menzel, Curt Riess (story)"
N/A,N/A,N/A,7.7,335,7 min,English,N/A,N/A,07 May 1955,tt0048148,The corporate board has Elmer committed to an asylum because he thinks he's a rabbit. At the sanitarium Bugs agrees to trade places with Elmer.,Friz Freleng,Hare Brush,Mel Blanc,True,movie,N/A,N/A,1955,https://m.media-amazon.com/images/M/MV5BYTE0NWVkNzItMjRjMi00Njk1LWIyYzUtYjk2ZTZiMmFiNmMxXkEyXkFqcGdeQXVyNzg5OTk2OA@@._V1_SX300.jpg,USA,"Family, Animation, Short",Warren Foster (story)
N/A,N/A,N/A,6.7,13,87 min,German,N/A,N/A,08 Jul 1955,tt0048149,N/A,Max Nosseck,The Captain and His Hero,"Ernst Schröder, Jo Herbst, Fita Benkhoff, Ilse Steppat",True,movie,N/A,N/A,1955,N/A,West Germany,"Comedy, Drama","Karl-Wilhelm Vivier (screenplay), Claus Hubalek (play)"
N/A,N/A,N/A,4.9,128,70 min,English,Approved,N/A,15 Sep 1955,tt0048150,"City Editor Ned Powers assigns student reporter David Flynn to veteran newsman Hugh Woodruff, primarily to get on Woodruff's nerves. David has long admired Woodruff, but is saddened to see ...",William Witney,Headline Hunters,"Rod Cameron, Julie Bishop, Ben Cooper, Raymond Greenleaf",True,movie,N/A,N/A,1955,https://m.media-amazon.com/images/M/MV5BMTI3ZDM5ZmQtZjA2Ny00MzYyLWJmYjAtNTdmM2QzM2ZiYzNkXkEyXkFqcGdeQXVyMDMxMjQwMw@@._V1_SX300.jpg,USA,"Action, Adventure, Crime, Drama, Mystery, Romance","Frederick Louis Fox (original screenplay), John K. Butler (original screenplay)"
